 location ,cause,year,death
European Region,Maternal hypertensive disorders,1990,715.6082847
European Region,Maternal obstructed labor and uterine rupture,1990,84.6769571
European Region,Ectopic pregnancy,1990,160.3388098
European Region,Indirect maternal deaths,1990,334.3334701
European Region,Late maternal deaths,1990,115.6815207
European Region,Other maternal disorders,1990,1029.147435
Region of the Americas,Maternal hemorrhage,1991,2773.870716
Region of the Americas,Maternal sepsis and other maternal infections,1991,1700.746861
Region of the Americas,Maternal hypertensive disorders,1991,2955.999487
Region of the Americas,Maternal obstructed labor and uterine rupture,1991,138.0573663
Region of the Americas,Ectopic pregnancy,1991,214.2995892
Region of the Americas,Indirect maternal deaths,1991,744.2217532
Region of the Americas,Late maternal deaths,1991,714.6631081
Region of the Americas,Other maternal disorders,1991,1421.268476
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,1991,21.67988501
European Region,Maternal deaths aggravated by HIV/AIDS,1990,0.385527196
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,1991,6.643065148
Region of the Americas,Maternal hemorrhage,1992,2808.597525
Region of the Americas,Maternal sepsis and other maternal infections,1992,1668.304867
Region of the Americas,Maternal hypertensive disorders,1992,2977.156933
Region of the Americas,Maternal obstructed labor and uterine rupture,1992,144.0091246
Region of the Americas,Ectopic pregnancy,1992,207.7169396
Region of the Americas,Indirect maternal deaths,1992,780.4700029
Region of the Americas,Late maternal deaths,1992,692.6236421
Region of the Americas,Other maternal disorders,1992,1404.67766
South-East Asia Region,Maternal hemorrhage,1991,58651.40204
South-East Asia Region,Maternal sepsis and other maternal infections,1991,16747.82412
South-East Asia Region,Maternal hypertensive disorders,1991,18938.11834
South-East Asia Region,Maternal obstructed labor and uterine rupture,1991,4328.15726
South-East Asia Region,Ectopic pregnancy,1991,2159.919319
European Region,Maternal hemorrhage,1991,904.9206873
European Region,Maternal sepsis and other maternal infections,1991,373.6321894
European Region,Maternal hypertensive disorders,1991,701.8943145
European Region,Maternal obstructed labor and uterine rupture,1991,84.46655072
European Region,Ectopic pregnancy,1991,155.4126285
European Region,Indirect maternal deaths,1991,332.6446008
European Region,Late maternal deaths,1991,110.4740754
European Region,Other maternal disorders,1991,1010.775917
South-East Asia Region,Indirect maternal deaths,1991,12110.72503
South-East Asia Region,Late maternal deaths,1991,4268.68926
South-East Asia Region,Other maternal disorders,1991,10099.1096
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,1990,2.326180765
European Region,Maternal abortion and miscarriage,1990,927.2998524
Eastern Mediterranean Region,Maternal abortion and miscarriage,1990,5328.5016
South-East Asia Region,Maternal abortion and miscarriage,1991,23232.45571
Western Pacific Region,Maternal hemorrhage,1990,9071.94515
Western Pacific Region,Maternal sepsis and other maternal infections,1990,2586.109918
Western Pacific Region,Maternal hypertensive disorders,1990,3207.391765
Western Pacific Region,Maternal obstructed labor and uterine rupture,1990,615.328525
Western Pacific Region,Ectopic pregnancy,1990,490.1779719
Western Pacific Region,Indirect maternal deaths,1990,2899.678777
Western Pacific Region,Late maternal deaths,1990,204.6991752
Western Pacific Region,Other maternal disorders,1990,2606.134395
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,1990,0.750063449
Eastern Mediterranean Region,Maternal hemorrhage,1991,7988.397846
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,1991,4093.538031
Eastern Mediterranean Region,Maternal hypertensive disorders,1991,6020.642601
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,1991,604.6458984
Eastern Mediterranean Region,Ectopic pregnancy,1991,312.3745578
Eastern Mediterranean Region,Indirect maternal deaths,1991,1738.886172
Eastern Mediterranean Region,Late maternal deaths,1991,831.5894405
Eastern Mediterranean Region,Other maternal disorders,1991,2032.798305
South-East Asia Region,Maternal abortion and miscarriage,1992,22721.73774
European Region,Maternal deaths aggravated by HIV/AIDS,1991,0.406332367
European Region,Maternal abortion and miscarriage,1991,849.0592223
Eastern Mediterranean Region,Maternal abortion and miscarriage,1991,5251.708128
Western Pacific Region,Maternal abortion and miscarriage,1990,3017.48804
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,1991,3.253718072
Region of the Americas,Maternal abortion and miscarriage,1992,2775.981801
Eastern Mediterranean Region,Maternal hemorrhage,1992,8301.606755
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,1992,4209.926093
Eastern Mediterranean Region,Maternal hypertensive disorders,1992,6337.640512
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,1992,670.4555558
Eastern Mediterranean Region,Ectopic pregnancy,1992,330.4120728
Eastern Mediterranean Region,Indirect maternal deaths,1992,1828.237089
Eastern Mediterranean Region,Late maternal deaths,1992,874.605512
Eastern Mediterranean Region,Other maternal disorders,1992,2141.885293
Western Pacific Region,Maternal hemorrhage,1991,8218.515374
Western Pacific Region,Maternal sepsis and other maternal infections,1991,2284.090674
Western Pacific Region,Maternal hypertensive disorders,1991,2937.545122
Western Pacific Region,Maternal obstructed labor and uterine rupture,1991,579.6341724
Western Pacific Region,Ectopic pregnancy,1991,451.8926659
Western Pacific Region,Indirect maternal deaths,1991,2734.853429
Western Pacific Region,Late maternal deaths,1991,190.3666348
Western Pacific Region,Other maternal disorders,1991,2434.309274
African Region,Maternal hemorrhage,1992,15585.44878
African Region,Maternal sepsis and other maternal infections,1992,12444.53801
African Region,Maternal hypertensive disorders,1992,7868.943131
African Region,Maternal obstructed labor and uterine rupture,1992,2493.702894
African Region,Ectopic pregnancy,1992,2563.157943
African Region,Indirect maternal deaths,1992,3471.383704
African Region,Late maternal deaths,1992,3836.183452
African Region,Other maternal disorders,1992,7563.521174
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,1991,0.97251231
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,1992,11.91957684
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,1992,4.378567655
Western Pacific Region,Maternal abortion and miscarriage,1991,2783.801593
African Region,Maternal deaths aggravated by HIV/AIDS,1992,1016.944837
European Region,Maternal hemorrhage,1992,863.5198803
European Region,Maternal sepsis and other maternal infections,1992,349.9838133
European Region,Maternal hypertensive disorders,1992,674.8176255
European Region,Maternal obstructed labor and uterine rupture,1992,81.16841994
European Region,Ectopic pregnancy,1992,142.330537
European Region,Indirect maternal deaths,1992,314.041858
European Region,Late maternal deaths,1992,106.7064691
European Region,Other maternal disorders,1992,973.3201979
African Region,Maternal abortion and miscarriage,1992,22358.38971
Eastern Mediterranean Region,Maternal abortion and miscarriage,1992,5299.099905
European Region,Maternal deaths aggravated by HIV/AIDS,1992,0.435022797
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,1992,1.561985948
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,1992,25.31573985
South-East Asia Region,Maternal hemorrhage,1992,59156.87324
South-East Asia Region,Maternal sepsis and other maternal infections,1992,16674.30117
South-East Asia Region,Maternal hypertensive disorders,1992,19105.35747
South-East Asia Region,Maternal obstructed labor and uterine rupture,1992,4259.335112
South-East Asia Region,Ectopic pregnancy,1992,2221.704567
South-East Asia Region,Indirect maternal deaths,1992,12268.60157
South-East Asia Region,Late maternal deaths,1992,4408.618496
South-East Asia Region,Other maternal disorders,1992,10539.50981
European Region,Maternal abortion and miscarriage,1992,794.1062406
Western Pacific Region,Maternal abortion and miscarriage,1992,2585.978963
Western Pacific Region,Maternal hemorrhage,1992,7482.474306
Western Pacific Region,Maternal sepsis and other maternal infections,1992,2019.388794
Western Pacific Region,Maternal hypertensive disorders,1992,2725.004234
Western Pacific Region,Maternal obstructed labor and uterine rupture,1992,547.5294373
Western Pacific Region,Ectopic pregnancy,1992,422.0891718
Western Pacific Region,Indirect maternal deaths,1992,2603.108607
Western Pacific Region,Late maternal deaths,1992,179.7075359
Western Pacific Region,Other maternal disorders,1992,2305.985423
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,1993,18.63610052
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,1993,27.99724286
European Region,Maternal deaths aggravated by HIV/AIDS,1993,0.427654007
South-East Asia Region,Maternal hemorrhage,1993,57069.35841
South-East Asia Region,Maternal sepsis and other maternal infections,1993,16007.04882
South-East Asia Region,Maternal hypertensive disorders,1993,18519.8876
South-East Asia Region,Maternal obstructed labor and uterine rupture,1993,3941.244268
South-East Asia Region,Ectopic pregnancy,1993,2188.134279
South-East Asia Region,Indirect maternal deaths,1993,11881.98483
South-East Asia Region,Late maternal deaths,1993,4340.743573
South-East Asia Region,Other maternal disorders,1993,10609.19988
Western Pacific Region,Maternal hemorrhage,1993,7009.481507
Western Pacific Region,Maternal sepsis and other maternal infections,1993,1820.375083
Western Pacific Region,Maternal hypertensive disorders,1993,2590.751875
Western Pacific Region,Maternal obstructed labor and uterine rupture,1993,536.0712076
Western Pacific Region,Ectopic pregnancy,1993,407.7388546
Western Pacific Region,Indirect maternal deaths,1993,2556.618086
Western Pacific Region,Late maternal deaths,1993,173.3068839
Western Pacific Region,Other maternal disorders,1993,2223.904702
Region of the Americas,Maternal abortion and miscarriage,1993,2587.226826
Region of the Americas,Maternal hemorrhage,1993,2681.016569
Region of the Americas,Maternal sepsis and other maternal infections,1993,1575.947634
Region of the Americas,Maternal hypertensive disorders,1993,2898.41836
Region of the Americas,Maternal obstructed labor and uterine rupture,1993,149.0705824
Region of the Americas,Ectopic pregnancy,1993,201.9023801
Region of the Americas,Indirect maternal deaths,1993,823.4529262
Region of the Americas,Late maternal deaths,1993,668.1803891
Region of the Americas,Other maternal disorders,1993,1358.745748
European Region,Maternal abortion and miscarriage,1993,745.9810793
African Region,Maternal abortion and miscarriage,1993,22405.78541
European Region,Maternal hemorrhage,1993,830.1247788
European Region,Maternal sepsis and other maternal infections,1993,336.4278656
European Region,Maternal hypertensive disorders,1993,648.7617784
European Region,Maternal obstructed labor and uterine rupture,1993,78.96348351
European Region,Ectopic pregnancy,1993,139.3858295
European Region,Indirect maternal deaths,1993,310.3259409
European Region,Late maternal deaths,1993,103.8704461
European Region,Other maternal disorders,1993,950.5353022
Western Pacific Region,Maternal abortion and miscarriage,1993,2416.422026
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,1993,2.798562939
African Region,Maternal hemorrhage,1993,15635.79588
African Region,Maternal sepsis and other maternal infections,1993,12637.90874
African Region,Maternal hypertensive disorders,1993,7818.356729
African Region,Maternal obstructed labor and uterine rupture,1993,2466.50886
African Region,Ectopic pregnancy,1993,2571.362851
African Region,Indirect maternal deaths,1993,3424.832544
African Region,Late maternal deaths,1993,3893.113786
African Region,Other maternal disorders,1993,7580.789958
African Region,Maternal deaths aggravated by HIV/AIDS,1993,1159.747516
African Region,Maternal abortion and miscarriage,1994,22504.75696
Eastern Mediterranean Region,Maternal abortion and miscarriage,1993,5319.372453
South-East Asia Region,Maternal hemorrhage,1994,55569.64682
South-East Asia Region,Maternal sepsis and other maternal infections,1994,15425.77657
South-East Asia Region,Maternal hypertensive disorders,1994,18076.70664
South-East Asia Region,Maternal obstructed labor and uterine rupture,1994,3699.111787
South-East Asia Region,Ectopic pregnancy,1994,2179.798679
South-East Asia Region,Indirect maternal deaths,1994,11626.3596
South-East Asia Region,Late maternal deaths,1994,4325.368868
South-East Asia Region,Other maternal disorders,1994,10794.57951
Region of the Americas,Maternal hemorrhage,1994,2789.816349
Region of the Americas,Maternal sepsis and other maternal infections,1994,1570.201272
Region of the Americas,Maternal hypertensive disorders,1994,3036.577703
Region of the Americas,Maternal obstructed labor and uterine rupture,1994,159.7935765
Region of the Americas,Ectopic pregnancy,1994,207.3082173
Region of the Americas,Indirect maternal deaths,1994,917.0056367
Region of the Americas,Late maternal deaths,1994,682.4689501
Region of the Americas,Other maternal disorders,1994,1434.798332
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,1994,29.68697659
South-East Asia Region,Maternal abortion and miscarriage,1993,21549.11588
European Region,Maternal abortion and miscarriage,1994,733.9776698
South-East Asia Region,Maternal abortion and miscarriage,1994,20628.00332
Western Pacific Region,Maternal hemorrhage,1994,7382.506478
Western Pacific Region,Maternal sepsis and other maternal infections,1994,1812.434631
Western Pacific Region,Maternal hypertensive disorders,1994,2759.998526
Western Pacific Region,Maternal obstructed labor and uterine rupture,1994,600.6823726
Western Pacific Region,Ectopic pregnancy,1994,446.8448464
Western Pacific Region,Indirect maternal deaths,1994,2925.757342
Western Pacific Region,Late maternal deaths,1994,180.5963961
Western Pacific Region,Other maternal disorders,1994,2380.4816
Region of the Americas,Maternal abortion and miscarriage,1994,2549.108312
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,1994,27.69168493
Eastern Mediterranean Region,Maternal hemorrhage,1994,8731.588755
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,1994,4431.849787
Eastern Mediterranean Region,Maternal hypertensive disorders,1994,6875.817654
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,1994,790.5085529
Eastern Mediterranean Region,Ectopic pregnancy,1994,366.8898317
Eastern Mediterranean Region,Indirect maternal deaths,1994,1975.490552
Eastern Mediterranean Region,Late maternal deaths,1994,956.2738569
Eastern Mediterranean Region,Other maternal disorders,1994,2315.068333
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,1994,7.2224167
European Region,Maternal hemorrhage,1994,805.004103
European Region,Maternal sepsis and other maternal infections,1994,332.8396322
European Region,Maternal hypertensive disorders,1994,635.1798154
European Region,Maternal obstructed labor and uterine rupture,1994,79.44533783
European Region,Ectopic pregnancy,1994,141.9676113
European Region,Indirect maternal deaths,1994,310.498184
European Region,Late maternal deaths,1994,102.0999554
European Region,Other maternal disorders,1994,935.8609562
Eastern Mediterranean Region,Maternal hemorrhage,1993,8528.99048
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,1993,4329.382174
Eastern Mediterranean Region,Maternal hypertensive disorders,1993,6606.561246
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,1993,730.1621827
Eastern Mediterranean Region,Ectopic pregnancy,1993,346.5020183
Eastern Mediterranean Region,Indirect maternal deaths,1993,1903.519625
Eastern Mediterranean Region,Late maternal deaths,1993,914.3796601
Eastern Mediterranean Region,Other maternal disorders,1993,2236.713912
African Region,Maternal hemorrhage,1994,15764.69759
African Region,Maternal sepsis and other maternal infections,1994,12975.04517
African Region,Maternal hypertensive disorders,1994,7922.061092
African Region,Maternal obstructed labor and uterine rupture,1994,2465.298833
African Region,Ectopic pregnancy,1994,2615.454449
African Region,Indirect maternal deaths,1994,3443.341437
African Region,Late maternal deaths,1994,3990.245481
African Region,Other maternal disorders,1994,7697.123021
African Region,Maternal deaths aggravated by HIV/AIDS,1994,1303.814872
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,1995,8.92638736
Eastern Mediterranean Region,Maternal abortion and miscarriage,1994,5296.126613
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,1994,4.779654927
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,1993,5.700301071
Region of the Americas,Maternal abortion and miscarriage,1996,2182.365998
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,1996,51.47774536
Western Pacific Region,Maternal abortion and miscarriage,1995,2266.059791
European Region,Maternal deaths aggravated by HIV/AIDS,1996,0.493237743
European Region,Maternal deaths aggravated by HIV/AIDS,1994,0.453939916
European Region,Maternal hemorrhage,1996,707.9186699
European Region,Maternal sepsis and other maternal infections,1996,294.4599903
European Region,Maternal hypertensive disorders,1996,571.9524572
European Region,Maternal obstructed labor and uterine rupture,1996,78.37984179
European Region,Ectopic pregnancy,1996,118.3388444
European Region,Indirect maternal deaths,1996,279.7885301
European Region,Late maternal deaths,1996,94.34943924
European Region,Other maternal disorders,1996,830.9035319
South-East Asia Region,Maternal abortion and miscarriage,1996,18756.85473
Western Pacific Region,Maternal hemorrhage,1995,7552.046134
Western Pacific Region,Maternal sepsis and other maternal infections,1995,1738.137281
Western Pacific Region,Maternal hypertensive disorders,1995,2849.796246
Western Pacific Region,Maternal obstructed labor and uterine rupture,1995,654.9870302
Western Pacific Region,Ectopic pregnancy,1995,473.4893184
Western Pacific Region,Indirect maternal deaths,1995,3248.481495
Western Pacific Region,Late maternal deaths,1995,185.4215592
Western Pacific Region,Other maternal disorders,1995,2493.619748
Eastern Mediterranean Region,Maternal hemorrhage,1996,9091.931466
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,1996,4502.584588
Eastern Mediterranean Region,Maternal hypertensive disorders,1996,7311.311958
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,1996,889.3307648
Eastern Mediterranean Region,Ectopic pregnancy,1996,407.5597551
Eastern Mediterranean Region,Indirect maternal deaths,1996,2121.564377
Eastern Mediterranean Region,Late maternal deaths,1996,1026.973833
Eastern Mediterranean Region,Other maternal disorders,1996,2491.589141
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,1996,10.83125346
Eastern Mediterranean Region,Maternal abortion and miscarriage,1996,5188.310683
Western Pacific Region,Maternal abortion and miscarriage,1996,2107.690934
Eastern Mediterranean Region,Maternal abortion and miscarriage,1995,5259.034921
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,1996,9.271892811
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,1995,7.208627151
Western Pacific Region,Maternal abortion and miscarriage,1994,2353.121734
African Region,Maternal hemorrhage,1995,15617.07116
African Region,Maternal sepsis and other maternal infections,1995,13231.59621
African Region,Maternal hypertensive disorders,1995,7944.392819
African Region,Maternal obstructed labor and uterine rupture,1995,2449.898723
African Region,Ectopic pregnancy,1995,2609.378306
African Region,Indirect maternal deaths,1995,3418.714625
African Region,Late maternal deaths,1995,4042.158916
African Region,Other maternal disorders,1995,7703.049353
African Region,Maternal abortion and miscarriage,1995,22442.43237
African Region,Maternal deaths aggravated by HIV/AIDS,1995,1419.094048
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,1995,30.17505163
Region of the Americas,Maternal hemorrhage,1995,2691.44824
Region of the Americas,Maternal sepsis and other maternal infections,1995,1448.7234
South-East Asia Region,Maternal hemorrhage,1995,54102.88287
South-East Asia Region,Maternal sepsis and other maternal infections,1995,14801.44832
South-East Asia Region,Maternal hypertensive disorders,1995,17762.32705
South-East Asia Region,Maternal obstructed labor and uterine rupture,1995,3465.746424
South-East Asia Region,Ectopic pregnancy,1995,2165.368404
South-East Asia Region,Indirect maternal deaths,1995,11539.66317
South-East Asia Region,Late maternal deaths,1995,4323.48302
South-East Asia Region,Other maternal disorders,1995,11029.69536
Region of the Americas,Maternal hypertensive disorders,1995,2919.504259
Region of the Americas,Maternal obstructed labor and uterine rupture,1995,154.1634894
Region of the Americas,Ectopic pregnancy,1995,193.9422455
Region of the Americas,Indirect maternal deaths,1995,900.495053
Region of the Americas,Late maternal deaths,1995,647.3536901
Region of the Americas,Other maternal disorders,1995,1374.039383
Region of the Americas,Maternal hemorrhage,1996,2529.457108
Region of the Americas,Maternal sepsis and other maternal infections,1996,1323.388695
Region of the Americas,Maternal hypertensive disorders,1996,2807.479045
Region of the Americas,Maternal obstructed labor and uterine rupture,1996,147.7941703
Region of the Americas,Ectopic pregnancy,1996,191.1664861
Region of the Americas,Indirect maternal deaths,1996,943.6408688
Region of the Americas,Late maternal deaths,1996,617.6000097
Region of the Americas,Other maternal disorders,1996,1343.805977
European Region,Maternal abortion and miscarriage,1995,689.6897044
African Region,Maternal hemorrhage,1996,15682.12639
African Region,Maternal sepsis and other maternal infections,1996,13506.17699
African Region,Maternal hypertensive disorders,1996,8094.309707
African Region,Maternal obstructed labor and uterine rupture,1996,2491.274425
African Region,Ectopic pregnancy,1996,2628.040706
African Region,Indirect maternal deaths,1996,3447.480797
African Region,Late maternal deaths,1996,4142.671292
African Region,Other maternal disorders,1996,7828.514419
South-East Asia Region,Maternal abortion and miscarriage,1995,19651.71491
African Region,Maternal deaths aggravated by HIV/AIDS,1996,1513.975906
European Region,Maternal deaths aggravated by HIV/AIDS,1995,0.468383368
South-East Asia Region,Maternal hemorrhage,1996,53174.58739
South-East Asia Region,Maternal sepsis and other maternal infections,1996,14425.90221
South-East Asia Region,Maternal hypertensive disorders,1996,17363.47142
South-East Asia Region,Maternal obstructed labor and uterine rupture,1996,3286.922956
South-East Asia Region,Ectopic pregnancy,1996,2207.373084
South-East Asia Region,Indirect maternal deaths,1996,11385.64623
South-East Asia Region,Late maternal deaths,1996,4283.763666
South-East Asia Region,Other maternal disorders,1996,11447.08703
Eastern Mediterranean Region,Maternal hemorrhage,1995,8956.42986
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,1995,4492.069801
Eastern Mediterranean Region,Maternal hypertensive disorders,1995,7164.621006
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,1995,855.9588237
Eastern Mediterranean Region,Ectopic pregnancy,1995,389.9968301
Eastern Mediterranean Region,Indirect maternal deaths,1995,2053.20658
Eastern Mediterranean Region,Late maternal deaths,1995,998.4206577
Eastern Mediterranean Region,Other maternal disorders,1995,2403.516711
European Region,Maternal abortion and miscarriage,1996,606.4894738
Western Pacific Region,Maternal hemorrhage,1996,7242.384096
Western Pacific Region,Maternal sepsis and other maternal infections,1996,1569.763018
Western Pacific Region,Maternal hypertensive disorders,1996,2757.637567
Western Pacific Region,Maternal obstructed labor and uterine rupture,1996,685.0508258
Western Pacific Region,Ectopic pregnancy,1996,469.1837467
Western Pacific Region,Indirect maternal deaths,1996,3351.117055
Western Pacific Region,Late maternal deaths,1996,181.2461292
Western Pacific Region,Other maternal disorders,1996,2456.579924
Region of the Americas,Maternal abortion and miscarriage,1995,2389.31347
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,1995,38.45975512
European Region,Maternal hemorrhage,1995,772.9741885
European Region,Maternal sepsis and other maternal infections,1995,324.844433
European Region,Maternal hypertensive disorders,1995,618.0605142
European Region,Maternal obstructed labor and uterine rupture,1995,79.45579485
European Region,Ectopic pregnancy,1995,132.6601368
European Region,Indirect maternal deaths,1995,299.2872405
European Region,Late maternal deaths,1995,101.2677452
European Region,Other maternal disorders,1995,909.5451978
African Region,Maternal abortion and miscarriage,1996,22397.3011
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,1996,29.90416766
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,1997,29.8606864
South-East Asia Region,Maternal hemorrhage,1997,53948.4694
South-East Asia Region,Maternal sepsis and other maternal infections,1997,14588.58662
South-East Asia Region,Maternal hypertensive disorders,1997,17324.03964
South-East Asia Region,Maternal obstructed labor and uterine rupture,1997,3179.597971
South-East Asia Region,Ectopic pregnancy,1997,2299.757301
African Region,Maternal abortion and miscarriage,1997,22403.48709
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,1998,28.90185987
Region of the Americas,Maternal hemorrhage,1997,2494.887814
Region of the Americas,Maternal sepsis and other maternal infections,1997,1246.422611
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,1998,79.96433105
Region of the Americas,Maternal abortion and miscarriage,1998,1941.217799
African Region,Maternal deaths aggravated by HIV/AIDS,1998,1701.196745
Western Pacific Region,Maternal hemorrhage,1997,6906.479334
Western Pacific Region,Maternal sepsis and other maternal infections,1997,1458.605256
Western Pacific Region,Maternal hypertensive disorders,1997,2661.647449
Western Pacific Region,Maternal obstructed labor and uterine rupture,1997,702.3311789
Western Pacific Region,Ectopic pregnancy,1997,464.2097894
Western Pacific Region,Indirect maternal deaths,1997,3416.712796
Western Pacific Region,Late maternal deaths,1997,177.6121261
Western Pacific Region,Other maternal disorders,1997,2436.196723
African Region,Maternal abortion and miscarriage,1998,22757.91365
European Region,Maternal abortion and miscarriage,1998,495.6832405
European Region,Maternal hemorrhage,1998,629.8771765
European Region,Maternal sepsis and other maternal infections,1998,250.3530543
European Region,Maternal hypertensive disorders,1998,515.3358415
European Region,Maternal obstructed labor and uterine rupture,1998,79.78676815
European Region,Ectopic pregnancy,1998,101.133123
European Region,Indirect maternal deaths,1998,250.87875
European Region,Late maternal deaths,1998,88.4229986
European Region,Other maternal disorders,1998,755.931298
Western Pacific Region,Maternal hemorrhage,1998,6772.168811
Western Pacific Region,Maternal sepsis and other maternal infections,1998,1373.992886
Western Pacific Region,Maternal hypertensive disorders,1998,2657.868148
Western Pacific Region,Maternal obstructed labor and uterine rupture,1998,746.5833645
Western Pacific Region,Ectopic pregnancy,1998,471.2533574
Western Pacific Region,Indirect maternal deaths,1998,3602.502634
Western Pacific Region,Late maternal deaths,1998,177.6146614
Western Pacific Region,Other maternal disorders,1998,2486.56997
Eastern Mediterranean Region,Maternal hemorrhage,1997,9215.930647
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,1997,4518.743068
Eastern Mediterranean Region,Maternal hypertensive disorders,1997,7456.843645
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,1997,917.8812123
